palabra,freq
sacudió,1
mente,1
modo,1
ideas,1
gandhi,1
violencia,1
pudieron,1
transmitirse,1
inmenso,1
encontré,1
idea,1
poderosa,1
reencontré,1
parecidos,1
tarde,1
nelson,1
mandela,1
descubrí,1
corto,1
llevan,1
desperdicie,1
propia,1
pensar,1
gobernar,1
tantas,1
lugares,1
estuve,1
enganché,1
hacer,1
crear,1
puse,1
destruir,1
tan,2
simple,1
salí,1
volví,1
terminó,1
siendo,1
especial,1
fueron,3
amigos,2
querían,1
cerca,1
necesitan,1
invitación,1
cayendo,1
primero,1
uno,1
otro,1
improvisamos,1
asado,1
final,1
éramos,1
treinta,1
risas,1
anécdotas,1
chistes,1
irse,1
dejarme,1
solo,1
claro,1
quedado,1
yo,1
resto,1
ocupándose,1
correr,1
pocos,1
animaron,1
paddle,1
mayoría,1
calor,1
cuerpo,1
recordó,1
estamos,1
ciertas,1
así,1
rodeado,1
cariño,1
amigos,1
casa,1
empecé,1
expresidente,1
todavía,1
qué,1
intento,1
escribo,1
este,1
